species,country_of_origin,number_of_bags,bag_weight,processing_method,aroma,flavor,body,uniformity
Arabica,Guatemala,250,69.0,Other,7.83,7.83,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.5,7.92,10.0
Arabica,United States (Hawaii),7,45.3592,Natural,7.33,7.92,7.92,10.0
Arabica,Mexico,10,1.0,Semi-Washed,7.83,7.92,7.5,10.0
Arabica,Mexico,20,1.0,Washed,7.83,7.83,7.83,10.0
Arabica,Mexico,250,1.0,Washed,7.83,7.92,7.5,10.0
Arabica,Uganda,1,60.0,Natural,8.17,7.75,7.83,10.0
Arabica,Guatemala,50,69.0,Washed,7.75,7.83,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.83,7.75,7.75,10.0
Arabica,Costa Rica,150,69.0,Washed,7.92,7.75,7.5,10.0
Arabica,Guatemala,275,69.0,Washed,7.75,7.75,7.67,10.0
Arabica,Guatemala,377,69.0,Washed,7.75,7.92,7.67,10.0
Arabica,Guatemala,130,69.0,Washed,7.58,7.83,7.83,10.0
Arabica,Colombia,275,70.0,Washed,8.0,7.5,8.0,10.0
Arabica,Nicaragua,275,2.0,Natural,7.67,7.83,7.67,10.0
Arabica,Brazil,305,59.0,Natural,7.67,7.75,7.83,10.0
Arabica,Costa Rica,320,69.0,Washed,7.67,7.75,7.5,10.0
Arabica,Ethiopia,320,60.0,Natural,7.5,7.92,7.75,10.0
Arabica,"Tanzania, United Republic Of",10,60.0,Washed,7.92,7.75,7.75,10.0
Arabica,Colombia,250,1.0,Washed,7.67,7.5,7.83,10.0
Arabica,Guatemala,275,2.26796,Washed,7.67,7.75,7.75,10.0
Arabica,Kenya,300,18000.0,Washed,7.58,7.75,7.75,10.0
Arabica,Brazil,1,2.0,Natural,7.58,7.83,7.67,10.0
Arabica,Guatemala,250,69.0,Washed,7.92,7.75,7.83,10.0
Arabica,El Salvador,275,2.0,Natural,8.42,8.08,7.58,9.33
Arabica,Colombia,250,70.0,Washed,7.75,7.75,7.83,10.0
Arabica,Guatemala,275,1.0,Natural,7.83,7.5,7.83,10.0
Arabica,Uganda,320,60.0,Washed,7.83,7.75,7.83,10.0
Arabica,Indonesia,2,2.0,Natural,7.81,7.88,7.63,10.0
Arabica,Colombia,275,70.0,Washed,7.83,7.5,7.83,10.0
Arabica,Taiwan,10,20.0,Washed,7.58,7.67,7.75,10.0
Arabica,Guatemala,50,69.0,Washed,8.0,7.75,7.92,10.0
Arabica,Colombia,200,70.0,Washed,7.92,7.75,7.67,10.0
Arabica,Guatemala,1,2.0,Washed,7.58,7.75,7.75,10.0
Arabica,United States (Hawaii),14,45.3592,Natural,7.83,7.75,7.42,9.33
Arabica,Mexico,300,1.0,Washed,7.67,7.75,7.67,10.0
Arabica,Ethiopia,100,60.0,Natural,7.92,7.92,7.92,10.0
Arabica,Costa Rica,275,68.0388,Washed,7.58,7.75,7.83,10.0
Arabica,Ethiopia,320,60.0,Natural,7.83,7.75,7.33,10.0
Arabica,Honduras,275,66.0,Washed,7.42,7.83,7.75,10.0
Arabica,Guatemala,275,69.0,Washed,7.67,7.83,7.75,10.0
Arabica,Colombia,250,1.0,Washed,7.67,7.67,7.58,10.0
Arabica,Guatemala,250,69.0,Natural,7.92,7.67,7.75,10.0
Arabica,Guatemala,250,69.0,Other,7.75,7.83,7.58,10.0
Arabica,Colombia,250,1.0,Washed,7.67,7.75,7.67,10.0
Arabica,Colombia,250,70.0,Natural,7.58,7.42,7.75,10.0
Arabica,Colombia,138,70.0,Washed,7.67,7.67,7.67,10.0
Arabica,Ethiopia,50,60.0,Natural,7.75,7.75,7.67,10.0
Arabica,Brazil,320,60.0,Natural,7.58,7.83,8.0,10.0
Arabica,Colombia,270,70.0,Washed,7.67,7.83,7.67,10.0
Arabica,Kenya,300,60.0,Washed,7.67,7.83,7.92,10.0
Arabica,Thailand,2,1.0,Washed,7.92,8.17,8.08,8.67
Arabica,Kenya,150,9000.0,Washed,7.67,7.75,7.83,10.0
Arabica,Uganda,320,60.0,Washed,7.92,7.75,7.67,10.0
Arabica,Brazil,320,60.0,Natural,7.5,7.75,7.58,10.0
Arabica,Mexico,200,69.0,Washed,7.83,7.83,7.42,10.0
Arabica,Thailand,45,40.0,Natural,7.67,7.75,7.67,10.0
Arabica,Brazil,320,60.0,Natural,7.58,7.67,7.58,10.0
Arabica,Taiwan,20,50.0,Washed,7.83,7.75,7.83,9.33
Arabica,Taiwan,1,2.0,Natural,7.75,7.75,7.75,10.0
Arabica,Colombia,275,2.0,Washed,7.92,7.67,7.58,10.0
Arabica,Colombia,275,2.0,Washed,7.83,7.75,7.75,10.0
Arabica,Colombia,275,70.0,Washed,7.75,7.58,7.83,10.0
Arabica,Taiwan,10,60.0,Washed,8.0,7.92,7.67,10.0
Arabica,Colombia,250,70.0,Natural,7.67,7.83,7.67,10.0
Arabica,Mexico,48,1.0,Washed,7.67,7.75,7.75,10.0
Arabica,Mexico,250,1.0,Washed,7.5,7.67,7.75,10.0
Arabica,Mexico,20,1.0,Washed,7.75,7.92,7.75,9.33
Arabica,Colombia,275,70.0,Washed,7.92,7.58,7.58,10.0
Arabica,Costa Rica,275,69.0,Washed,7.67,7.67,7.5,10.0
Arabica,Guatemala,100,69.0,Washed,7.75,7.75,7.83,10.0
Arabica,Brazil,320,2.0,Natural,7.25,7.58,7.75,10.0
Arabica,Taiwan,8,18.0,Washed,7.67,7.75,7.42,10.0
Arabica,Ethiopia,320,60.0,Natural,7.75,7.75,7.58,10.0
Arabica,Brazil,300,2.0,Semi-Washed,7.67,7.67,7.83,10.0
Arabica,Costa Rica,250,1.0,Washed,7.83,7.42,7.75,10.0
Arabica,Guatemala,250,69.0,Washed,7.58,7.83,7.58,10.0
Arabica,Brazil,320,60.0,Natural,7.92,7.5,8.17,10.0
Arabica,Ecuador,1,2.26796,Natural,7.5,7.67,7.83,10.0
Arabica,Colombia,250,70.0,Washed,7.67,7.58,7.58,10.0
Arabica,Guatemala,250,69.0,Washed,7.5,7.83,7.83,10.0
Arabica,Mexico,20,1.0,Natural,7.67,8.0,7.67,10.0
Arabica,Mexico,250,1.0,Natural,7.67,7.58,7.75,10.0
Arabica,Brazil,300,1.0,Semi-Washed,7.83,7.83,7.5,10.0
Arabica,Kenya,200,60.0,Washed,7.75,7.58,7.75,10.0
Arabica,Brazil,320,60.0,Natural,7.67,7.67,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.83,7.83,7.58,10.0
Arabica,Taiwan,10,10.0,Natural,7.67,7.67,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.92,7.75,7.75,10.0
Arabica,China,3,60.0,Washed,7.83,7.75,7.58,10.0
Arabica,Colombia,250,70.0,Natural,7.75,7.67,7.58,10.0
Arabica,Uganda,320,60.0,Natural,8.0,7.92,7.33,10.0
Arabica,United States (Puerto Rico),18,2.26796,Washed,7.83,7.83,8.0,9.33
Arabica,Colombia,100,70.0,Washed,7.67,7.67,7.5,10.0
