country_of_origin,species,processing_method,cupper_points,YumScore
Colombia,Arabica,,7.83,0.82725
Colombia,Arabica,Natural / Dry,7.33,0.8375
Colombia,Arabica,Washed / Wet,8.17,0.8227499999999999
Mexico,Arabica,Washed / Wet,7.83,0.83125
Brazil,Arabica,,7.75,0.84175
Brazil,Arabica,,7.92,0.84175
Ethiopia,Arabica,,7.75,0.825
Guatemala,Arabica,,7.92,0.82725
Taiwan,Arabica,Washed / Wet,7.67,0.8335000000000001
Thailand,Arabica,Natural / Dry,8.0,0.8352499999999999
Colombia,Arabica,Natural / Dry,7.83,0.827
Guatemala,Arabica,Washed / Wet,7.75,0.83125
Guatemala,Arabica,Washed / Wet,7.75,0.83125
China,Arabica,Natural / Dry,7.75,0.8352499999999999
Colombia,Arabica,Washed / Wet,7.83,0.8252499999999999
Colombia,Arabica,Washed / Wet,7.75,0.8355
Colombia,Arabica,Washed / Wet,7.83,0.83125
Colombia,Arabica,Natural / Dry,7.83,0.8252499999999999
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.83,0.82925
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.75,0.83125
Guatemala,Arabica,Other,7.83,0.8310000000000001
Colombia,Arabica,Washed / Wet,7.83,0.825
United States (Hawaii),Arabica,Natural / Dry,7.83,0.82925
Mexico,Arabica,Semi-washed / Semi-pulped,7.75,0.83125
Mexico,Arabica,Washed / Wet,7.75,0.83725
Mexico,Arabica,Washed / Wet,7.83,0.83125
Uganda,Arabica,Natural / Dry,7.67,0.84375
Guatemala,Arabica,Washed / Wet,7.75,0.83125
Colombia,Arabica,Washed / Wet,7.75,0.8332499999999999
Costa Rica,Arabica,Washed / Wet,8.0,0.82925
Guatemala,Arabica,Washed / Wet,7.58,0.82925
Guatemala,Arabica,Washed / Wet,7.67,0.8335000000000001
Guatemala,Arabica,Washed / Wet,7.83,0.8310000000000001
Colombia,Arabica,Washed / Wet,7.67,0.8375
Nicaragua,Arabica,Natural / Dry,7.83,0.82925
